Date,Description,Amount
07/09/2026,TESCO EXPRESS 3411 3411 LONDON,31.62
05/09/2026,AMZNMKTPLACE*QW8214KR   AMAZON.CO.UK,22.40
05/09/2026,M&S SIMPLY FOOD         LONDON,7.30
05/09/2026,PAYMENT RECEIVED - THANKYOU,-412.68
05/09/2026,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.10
04/09/2026,Gails Bakery Bethnal    London,11.40
03/09/2026,PRET A MANGER 0641      LONDON,9.45
03/09/2026,UBER *TRIP              HELP.UBER.COM,18.72
02/09/2026,SAINSBURYS SMKT 0112    LONDON,63.18
01/09/2026,NETFLIX.COM             LONDON,14.49
31/08/2026,SHELL 4471              GUILDFORD,58.40
31/08/2026,THE ANCHOR INN TAP ROOM GUILDFORD,31.40
30/08/2026,BOKKA CAFE LISBOA       LISBOA,18.32
30/08/2026,FOREIGN TRANSACTION FEE,0.55
29/08/2026,APPLE.COM/BILL          ITUNES.COM,2.99
28/08/2026,Waitrose Camden Town Wt London,51.03
28/08/2026,PUREGYM LTD             LEEDS,28.99
27/08/2026,SCREWFIX DIRECT LTD     YEOVIL,56.99
26/08/2026,BOOTS PHARMACY 1284     LONDON,6.15
26/08/2026,TESCO EXPRESS 3411 3411 LONDON,44.20
26/08/2026,Waitrose Camden Town Wt London,9.10
25/08/2026,M&S SIMPLY FOOD         LONDON,13.55
25/08/2026,SPOTIFY                 LONDON,14.49
