30/07/2026,"CR BRIGHTFORD LTD SALARY          ",3980.44
30/07/2026,"DD VODAFONE LTD                   ",-24.50
31/07/2026,"))) PRET A MANGER 0641 LONDON     ",-9.45
03/08/2026,"BP A HOLLOWAY RENT AUGUST         ",-1500.00
03/08/2026,"))) TFL TRAVEL CHARGE             ",-3.40
04/08/2026,"VIS SAINSBURYS SMKT 0112 LONDON   ",-63.18
05/08/2026,"SO HOLLOWAY A RESERVE             ",-350.00
06/08/2026,"))) GAILS BAKERY BETHNAL GRN      ",-11.80
07/08/2026,"DD THAMES WATER                   ",-38.72
10/08/2026,"ATM HSBC CAMDEN HIGH ST           ",-60.00
11/08/2026,"VIS BOKKA CAFE LISBOA             ",-15.94
11/08/2026,"NON-STERLING TRANSACTION FEE      ",-0.44
12/08/2026,"DD LB CAMDEN COUNCIL TAX          ",-143.00
13/08/2026,"VIS SCREWFIX DIRECT LTD YEOVIL    ",-56.99
14/08/2026,"CR J R WHITTAKER                  ",27.50
17/08/2026,"))) TESCO EXPRESS 3411 LONDON     ",-72.14
17/08/2026,"))) BURGER LOUNGE LTD LONDON      ",-38.05
18/08/2026,"DD AVIVA INSURANCE                ",-42.16
19/08/2026,"VIS AMZNMKTPLACE AMAZON.CO.UK     ",-29.99
21/08/2026,"))) M&S SIMPLY FOOD LONDON        ",-16.30
24/08/2026,"DD SKY DIGITAL                    ",-46.00
25/08/2026,"))) BOOTS PHARMACY 1284 LONDON    ",-12.45
26/08/2026,"CR BRIGHTFORD LTD EXPENSES        ",184.20
27/08/2026,"VIS WAITROSE 742 LONDON           ",-51.03
28/08/2026,"DD PUREGYM LTD                    ",-28.99
