Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split
tx_0000AkP2mQ7xLd91RvNbTc,07/09/2026,08:14:22,Card payment,Tesco,🛍️,Groceries,-31.62,GBP,-31.62,GBP,,"Camden Town, London",,TESCO EXPRESS 3411 3411TE LONDON,
tx_0000AkNzR4bVfH28XmQpLs,06/09/2026,19:02:47,Card payment,Uber,🚕,Transport,-18.72,GBP,-18.72,GBP,airport run,,,UBER *TRIP HELP.UBER.COM,
tx_0000AkMd8sYtGw03KpRnVz,05/09/2026,12:41:09,Faster payment,Alex Holloway,,Transfers,-45.00,GBP,-45.00,GBP,rent share,,,ALEX HOLLOWAY,
tx_0000AkLb1cWqZn74JhMtXe,05/09/2026,09:00:03,Direct Debit,Vodafone,📱,Bills,-24.50,GBP,-24.50,GBP,,,,VODAFONE LTD,
tx_0000AkKw6nDpSf51QbYrGu,04/09/2026,13:27:55,Card payment,Gail's Bakery,🍞,Eating out,-11.40,GBP,-11.40,GBP,,"Bethnal Green, London",,Gails Bakery Bethnal London,
tx_0000AkJq3vBhTr86MzXcNd,03/09/2026,07:55:12,Card payment,Transport for London,🚇,Transport,-5.10,GBP,-5.10,GBP,,,,TFL TRAVEL CHARGE TFL.GOV.UK/CP,
tx_0000AkHf9jNmVc27LtPwZs,02/09/2026,18:33:41,Card payment,Bokka Cafe,☕,Eating out,-15.94,GBP,-18.32,EUR,,Lisboa,,BOKKA CAFE LISBOA,
tx_0000AkGr2xCkYb90RdWnQm,01/09/2026,10:11:38,Pot transfer,Rainy day,,Savings,-350.00,GBP,-350.00,GBP,,,,Pot transfer,
tx_0000AkFt7pLzMd63VnBqXh,31/08/2026,06:02:00,Bank transfer,Brightford Ltd,,Income,3980.44,GBP,3980.44,GBP,,,,BRIGHTFORD LTD SALARY,
tx_0000AkEc4mRvHs18TjYpKw,30/08/2026,20:47:26,Card payment,Waitrose,🛍️,Groceries,-51.03,GBP,-51.03,GBP,,"Camden Town, London",,Waitrose Camden Town Wt London,
tx_0000AkDn8bWfTq45ZmLcVr,29/08/2026,15:19:04,Card payment,Screwfix,🔧,Shopping,-56.99,GBP,-56.99,GBP,shelf brackets,Yeovil,,SCREWFIX DIRECT LTD YEOVIL,
tx_0000AkCj5qKxNw72PbRdMt,28/08/2026,11:36:50,Direct Debit,PureGym,🏋️,Personal care,-28.99,GBP,-28.99,GBP,,,,PUREGYM LTD,
tx_0000AkBv1zHgLp39XcWnQf,27/08/2026,17:08:15,Card payment,Boots,💊,Personal care,-6.15,GBP,-6.15,GBP,,London,,BOOTS PHARMACY 1284 LONDON,
tx_0000AkAs6dTyRm84NkVbZj,26/08/2026,21:54:33,Faster payment,J R Whittaker,,Transfers,27.50,GBP,27.50,GBP,"dinner, split",,,J R WHITTAKER,
tx_0000Ak9h3fQbXv60LrMpTn,25/08/2026,08:22:07,Card payment,Spotify,🎵,Entertainment,-14.49,GBP,-14.49,GBP,,,,SPOTIFY LONDON,
