Date,Counter Party,Reference,Type,Amount (GBP),Balance (GBP),Spending Category,Notes
30/07/2026,Brightford Ltd,SALARY,DIRECT CREDIT,3980.44,4786.63,INCOME,
30/07/2026,Vodafone Ltd,VODAFONE LTD,DIRECT DEBIT,-24.50,4762.13,BILLS AND SERVICES,
02/08/2026,Alex Holloway,Rent August,FASTER PAYMENT,-1500.00,3262.13,PAYMENTS,rent
03/08/2026,Tfl Travel Charge,TFL TRAVEL CH,CARD PAYMENT,-3.40,3258.73,TRANSPORT,
05/08/2026,Holloway A Savings,SAVINGS,FASTER PAYMENT,-350.00,2908.73,SAVINGS,standing order
06/08/2026,Sainsburys,SAINSBURYS S/MKT 0112,CARD PAYMENT,-63.18,2845.55,GROCERIES,
07/08/2026,Thames Water,THAMES WATER,DIRECT DEBIT,-38.72,2806.83,BILLS AND SERVICES,
10/08/2026,Gails Bakery,GAIL'S BAKERY,CARD PAYMENT,-11.80,2795.03,EATING OUT,
11/08/2026,Bokka Cafe,BOKKA CAFE LISBOA,CARD PAYMENT,-15.94,2779.09,EATING OUT,EUR 18.32
12/08/2026,Lb Camden,COUNCIL TAX,DIRECT DEBIT,-143.00,2636.09,BILLS AND SERVICES,
13/08/2026,Screwfix Direct,SCREWFIX DIRECT LTD,CARD PAYMENT,-56.99,2579.10,SHOPPING,
14/08/2026,J R Whittaker,"Dinner, split three ways",FASTER PAYMENT,27.50,2606.60,INCOME,
17/08/2026,Tesco,TESCO STORES 3411,CARD PAYMENT,-72.14,2534.46,GROCERIES,
18/08/2026,Aviva Insurance,AVIVA INSURANCE,DIRECT DEBIT,-42.16,2492.30,INSURANCE,
19/08/2026,Amazon,AMZNMktplace AMAZON.CO.UK,CARD PAYMENT,-29.99,2462.31,SHOPPING,
21/08/2026,Marks And Spencer,M&S SIMPLY FOOD,CARD PAYMENT,-16.30,2446.01,GROCERIES,
24/08/2026,Sky Digital,SKY DIGITAL,DIRECT DEBIT,-46.00,2400.01,BILLS AND SERVICES,
26/08/2026,Brightford Ltd,EXPENSES,DIRECT CREDIT,184.20,2584.21,INCOME,
27/08/2026,Waitrose,WAITROSE 742,CARD PAYMENT,-51.03,2533.18,GROCERIES,
28/08/2026,Puregym Ltd,PUREGYM LTD,DIRECT DEBIT,-28.99,2504.19,GENERAL,
